ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION,valid_ICD10_2025,valid_ICD10_2026
B384,3.0,,,,True,True
B390,163.0,,,,True,True
B391,163.0,,,,True,True
B392,163.0,,,,True,True
B400,163.0,,,,True,True
B401,163.0,,,,True,True
B402,163.0,,,,True,True
B4081,3.0,,,,True,True
B410,163.0,,,,True,True
B4281,3.0,,,,True,True
B4282,55.0,,,,True,True
B431,3.0,,,,True,True
B440,6.0,,,,True,True
B441,6.0,,,,True,True
B442,6.0,,,,True,True
B447,6.0,,,,True,True
B4481,162.0,,,,True,True
B4489,6.0,,,,True,True
B449,6.0,,,,True,True
B450,6.0,,,,True,True
B451,6.0,,,,True,True
B452,6.0,,,,True,True
B453,6.0,,,,True,True
B457,6.0,,,,True,True
B458,6.0,,,,True,True
B459,6.0,,,,True,True
B460,6.0,,,,True,True
B461,6.0,,,,True,True
B462,6.0,,,,True,True
B463,6.0,,,,True,True
B464,6.0,,,,True,True
B465,6.0,,,,True,True
B468,6.0,,,,True,True
B469,6.0,,,,True,True
B484,6.0,,,,True,True
B488,6.0,,,,True,True
B5741,3.0,,,,True,True
B5742,3.0,,,,True,True
B582,6.0,,,,True,True
B583,6.0,,,,True,True
B5881,135.0,,,,True,True
B59,6.0,,,,True,True
B6011,3.0,,,,True,True
B664,163.0,,,,True,True
B671,163.0,,,,True,True
B9735,1.0,,,,True,True
C01,11.0,,,,True,True
C020,11.0,,,,True,True
C021,11.0,,,,True,True
C022,11.0,,,,True,True
C023,11.0,,,,True,True
C024,11.0,,,,True,True
C028,11.0,,,,True,True
C029,11.0,,,,True,True
C030,11.0,,,,True,True
C031,11.0,,,,True,True
C039,11.0,,,,True,True
C040,11.0,,,,True,True
C041,11.0,,,,True,True
C048,11.0,,,,True,True
C049,11.0,,,,True,True
C050,11.0,,,,True,True
C051,11.0,,,,True,True
C052,11.0,,,,True,True
C058,11.0,,,,True,True
C059,11.0,,,,True,True
C060,11.0,,,,True,True
C061,11.0,,,,True,True
C062,11.0,,,,True,True
C0680,11.0,,,,True,True
C0689,11.0,,,,True,True
C069,11.0,,,,True,True
C07,11.0,,,,True,True
C080,11.0,,,,True,True
C081,11.0,,,,True,True
C089,11.0,,,,True,True
C090,11.0,,,,True,True
C091,11.0,,,,True,True
C098,11.0,,,,True,True
C099,11.0,,,,True,True
C100,11.0,,,,True,True
C101,11.0,,,,True,True
C102,11.0,,,,True,True
C103,11.0,,,,True,True
C104,11.0,,,,True,True
C108,11.0,,,,True,True
C109,11.0,,,,True,True
C110,11.0,,,,True,True
C111,11.0,,,,True,True
C112,11.0,,,,True,True
C113,11.0,,,,True,True
C118,11.0,,,,True,True
C119,11.0,,,,True,True
C12,11.0,,,,True,True
C130,11.0,,,,True,True
C131,11.0,,,,True,True
C132,11.0,,,,True,True
C138,11.0,,,,True,True
C139,11.0,,,,True,True
C140,11.0,,,,True,True
C142,11.0,,,,True,True
C148,11.0,,,,True,True
C153,9.0,,,,True,True
C154,9.0,,,,True,True
C155,9.0,,,,True,True
C158,9.0,,,,True,True
C159,9.0,,,,True,True
C160,9.0,,,,True,True
C161,9.0,,,,True,True
C162,9.0,,,,True,True
C163,9.0,,,,True,True
C164,9.0,,,,True,True
C165,9.0,,,,True,True
C166,9.0,,,,True,True
C168,9.0,,,,True,True
C169,9.0,,,,True,True
C170,9.0,,,,True,True
C171,9.0,,,,True,True
C172,9.0,,,,True,True
C173,9.0,,,,True,True
C178,9.0,,,,True,True
C179,9.0,,,,True,True
C180,11.0,,,,True,True
C181,11.0,,,,True,True
C182,11.0,,,,True,True
C183,11.0,,,,True,True
C184,11.0,,,,True,True
C185,11.0,,,,True,True
C186,11.0,,,,True,True
C187,11.0,,,,True,True
C188,11.0,,,,True,True
C189,11.0,,,,True,True
C19,11.0,,,,True,True
C20,11.0,,,,True,True
C210,11.0,,,,True,True
C211,11.0,,,,True,True
C212,11.0,,,,True,True
C218,11.0,,,,True,True
C220,9.0,,,,True,True
C221,9.0,,,,True,True
C222,9.0,,,,True,True
C223,9.0,,,,True,True
C224,9.0,,,,True,True
C227,9.0,,,,True,True
C228,9.0,,,,True,True
C229,9.0,,,,True,True
C23,9.0,,,,True,True
C240,9.0,,,,True,True
C241,9.0,,,,True,True
C248,9.0,,,,True,True
C249,9.0,,,,True,True
C250,9.0,,,,True,True
C251,9.0,,,,True,True
C252,9.0,,,,True,True
C253,9.0,,,,True,True
C254,9.0,,,,True,True
C257,9.0,,,,True,True
C258,9.0,,,,True,True
C259,9.0,,,,True,True
C260,11.0,,,,True,True
C261,11.0,,,,True,True
C269,11.0,,,,True,True
C300,11.0,,,,True,True
C301,11.0,,,,True,True
C310,11.0,,,,True,True
C311,11.0,,,,True,True
C312,11.0,,,,True,True
C313,11.0,,,,True,True
C318,11.0,,,,True,True
C319,11.0,,,,True,True
C320,11.0,,,,True,True
C321,11.0,,,,True,True
C322,11.0,,,,True,True
C323,11.0,,,,True,True
C328,11.0,,,,True,True
C329,11.0,,,,True,True
C33,9.0,,,,True,True
C3400,9.0,,,,True,True
C3401,9.0,,,,True,True
C3402,9.0,,,,True,True
C3410,9.0,,,,True,True
C3411,9.0,,,,True,True
C3412,9.0,,,,True,True
C342,9.0,,,,True,True
C3430,9.0,,,,True,True
C3431,9.0,,,,True,True
C3432,9.0,,,,True,True
C3480,9.0,,,,True,True
C3481,9.0,,,,True,True
C3482,9.0,,,,True,True
C3490,9.0,,,,True,True
C3491,9.0,,,,True,True
C3492,9.0,,,,True,True
C37,11.0,,,,True,True
C380,10.0,,,,True,True
C381,11.0,,,,True,True
C382,11.0,,,,True,True
C383,11.0,,,,True,True
C384,9.0,,,,True,True
C388,11.0,,,,True,True
C390,11.0,,,,True,True
C399,11.0,,,,True,True
C4000,10.0,,,,True,True
C4001,10.0,,,,True,True
C4002,10.0,,,,True,True
C4010,10.0,,,,True,True
C4011,10.0,,,,True,True
C4012,10.0,,,,True,True
C4020,10.0,,,,True,True
C4021,10.0,,,,True,True
C4022,10.0,,,,True,True
C4030,10.0,,,,True,True
C4031,10.0,,,,True,True
C4032,10.0,,,,True,True
C4080,10.0,,,,True,True
C4081,10.0,,,,True,True
C4082,10.0,,,,True,True
C4090,10.0,,,,True,True
C4091,10.0,,,,True,True
C4092,10.0,,,,True,True
C410,10.0,,,,True,True
C411,10.0,,,,True,True
C412,10.0,,,,True,True
C413,10.0,,,,True,True
C414,10.0,,,,True,True
C419,10.0,,,,True,True
C430,13.0,,,,True,True
C4310,13.0,,,,True,True
C43111,13.0,,,,True,True
C43112,13.0,,,,True,True
C43121,13.0,,,,True,True
C43122,13.0,,,,True,True
C4320,13.0,,,,True,True
C4321,13.0,,,,True,True
C4322,13.0,,,,True,True
C4330,13.0,,,,True,True
C4331,13.0,,,,True,True
C4339,13.0,,,,True,True
C434,13.0,,,,True,True
C4351,13.0,,,,True,True
C4352,13.0,,,,True,True
C4359,13.0,,,,True,True
C4360,13.0,,,,True,True
C4361,13.0,,,,True,True
C4362,13.0,,,,True,True
C4370,13.0,,,,True,True
C4371,13.0,,,,True,True
C4372,13.0,,,,True,True
C438,13.0,,,,True,True
C439,13.0,,,,True,True
C450,9.0,,,,True,True
C451,9.0,,,,True,True
C452,9.0,,,,True,True
C457,9.0,,,,True,True
C459,9.0,,,,True,True
C460,10.0,,,,True,True
C461,10.0,,,,True,True
C462,10.0,,,,True,True
C463,10.0,,,,True,True
C464,10.0,,,,True,True
C4650,10.0,,,,True,True
C4651,10.0,,,,True,True
C4652,10.0,,,,True,True
C467,10.0,,,,True,True
C469,10.0,,,,True,True
C470,10.0,,,,True,True
C4710,10.0,,,,True,True
C4711,10.0,,,,True,True
C4712,10.0,,,,True,True
C4720,10.0,,,,True,True
C4721,10.0,,,,True,True
C4722,10.0,,,,True,True
C473,10.0,,,,True,True
C474,10.0,,,,True,True
C475,10.0,,,,True,True
C476,10.0,,,,True,True
C478,10.0,,,,True,True
