Variable,Platinum Level,Gold Level,Silver Level,Bronze Level,Catastrophic Level
HHS_HCC163,7.187,7.124,7.105,7.067,7.067
HHS_HCC174,1.224,1.097,1.01,0.878,0.874
HHS_HCC183,0.0,0.0,0.0,0.0,0.0
HHS_HCC184,20.669,20.237,20.33,20.158,20.046
HHS_HCC187,0.0,0.0,0.0,0.0,0.0
HHS_HCC188,0.0,0.0,0.0,0.0,0.0
HHS_HCC203,1.85,1.673,1.534,1.319,1.314
HHS_HCC204,0.0,0.0,0.0,0.0,0.0
HHS_HCC205,0.0,0.0,0.0,0.0,0.0
HHS_HCC207,0.0,0.0,0.0,0.0,0.0
HHS_HCC208,0.0,0.0,0.0,0.0,0.0
HHS_HCC209,2.769,2.554,2.335,1.972,1.962
HHS_HCC210,0.815,0.714,0.561,0.37,0.363
HHS_HCC211,0.53,0.454,0.318,0.17,0.166
HHS_HCC212,0.018,0.005,0.0,0.0,0.0
HHS_HCC217,1.557,1.464,1.433,1.375,1.374
HHS_HCC218,23.714,23.524,23.474,23.384,23.383
HHS_HCC219,2.604,2.484,2.428,2.345,2.344
HHS_HCC223,18.201,18.057,17.99,17.882,17.879
HHS_HCC226,8.018,7.783,7.765,7.688,7.688
HHS_HCC228,4.277,4.116,4.047,3.925,3.922
HHS_HCC234,4.861,4.706,4.682,4.619,4.618
HHS_HCC251,18.571,18.584,18.547,18.531,18.535
HHS_HCC253,5.697,5.584,5.563,5.511,5.511
HHS_HCC254,0.936,0.835,0.799,0.738,0.736
G01,0.259,0.214,0.172,0.13,0.128
G02B,23.821,23.642,23.619,23.556,23.556
G04,1.924,1.801,1.74,1.639,1.637
G06A,11.237,11.118,11.09,11.024,11.02
G08,4.065,3.975,3.947,3.887,3.885
G09A,1.602,1.472,1.377,1.233,1.229
G09C,0.902,0.788,0.716,0.612,0.61
G10,9.112,8.957,8.905,8.806,8.805
G11,6.38,6.241,6.187,6.089,6.087
G12,1.393,1.304,1.236,1.136,1.134
G13,8.558,8.341,8.3,8.21,8.209
G14,17.404,17.301,17.262,17.214,17.224
G15A,0.643,0.567,0.491,0.395,0.392
G16,0.773,0.689,0.685,0.645,0.633
G17A,0.646,0.565,0.439,0.26,0.254
G18A,3.756,3.47,3.289,2.991,2.985
G21,2.122,2.033,1.975,1.895,1.893
G24,6.32,6.253,6.239,6.228,6.219
SEVERE_HCC_COUNT1,-6.014,-6.07,-6.119,-6.189,-6.189
SEVERE_HCC_COUNT2,-5.733,-5.806,-5.833,-5.886,-5.886
SEVERE_HCC_COUNT3,-4.904,-4.952,-4.891,-4.846,-4.844
SEVERE_HCC_COUNT4,-4.19,-4.178,-4.033,-3.871,-3.865
SEVERE_HCC_COUNT5,-3.522,-3.432,-3.216,-2.954,-2.945
SEVERE_HCC_COUNT6,-3.024,-2.835,-2.557,-2.202,-2.192
SEVERE_HCC_COUNT7,-2.432,-2.116,-1.78,-1.33,-1.318
SEVERE_HCC_COUNT8,-2.179,-1.784,-1.416,-0.91,-0.896
SEVERE_HCC_COUNT9,-0.287,0.253,0.676,1.279,1.294
