Variable,Platinum Level,Gold Level,Silver Level,Bronze Level,Catastrophic Level
G03,4.144,3.957,3.872,3.746,3.745
G04,1.241,1.14,1.069,0.981,0.979
G06A,12.305,12.163,12.117,12.039,12.038
G08,5.105,4.975,4.918,4.826,4.824
G09A,2.35,2.204,2.111,1.972,1.969
G09C,0.899,0.765,0.658,0.502,0.499
G10,10.147,9.959,9.908,9.81,9.809
G11,9.868,9.664,9.615,9.515,9.514
G12,5.546,5.399,5.326,5.206,5.203
G13,15.72,15.472,15.398,15.267,15.266
G14,13.387,13.303,13.228,13.137,13.135
G16,0.787,0.749,0.722,0.685,0.683
G17A,0.474,0.369,0.227,0.089,0.086
G18A,3.166,2.876,2.634,2.231,2.219
G19B,0.42,0.308,0.152,0.039,0.036
G22,3.818,3.627,3.528,3.362,3.357
G23,1.06,1.025,1.005,0.979,0.979
SEVERE_HCC_COUNT1,-11.216,-11.25,-11.261,-11.287,-11.287
SEVERE_HCC_COUNT2,-11.137,-11.2,-11.218,-11.265,-11.266
SEVERE_HCC_COUNT3,-9.692,-9.76,-9.689,-9.658,-9.655
SEVERE_HCC_COUNT4,-8.984,-8.987,-8.809,-8.652,-8.645
SEVERE_HCC_COUNT5,-6.593,-6.543,-6.303,-6.068,-6.059
SEVERE_HCC_COUNT6_7,-2.061,-1.828,-1.468,-1.064,-1.051
SEVERE_HCC_COUNT8PLUS,17.868,18.55,19.132,19.858,19.877
TRANSPLANT_HCC_COUNT4PLUS,14.488,14.558,14.58,14.612,14.613
